filename	label	latitude	longitude	width	stddeviations
auto	2016-10-14 00:00:00.0	41.6875	-86	0.0625	-1.85169
auto	2016-10-13 00:00:00.0	41.625	-88.125	0.0625	-0.64682
auto	2016-10-20 00:00:00.0	41.625	-86	0.0625	1.02724
auto	2016-10-23 00:00:00.0	41.1875	-87.875	0.0625	-1.16925
auto	2016-10-01 00:00:00.0	40.125	-88.1875	0.0625	-0.24247
auto	2016-10-03 00:00:00.0	42.25	-89.0625	0.0625	-0.70923
auto	2016-10-28 00:00:00.0	41.625	-86	0.0625	0.30525
auto	2016-10-05 00:00:00.0	41.625	-88.125	0.0625	1.53566
auto	2016-10-31 00:00:00.0	41.1875	-87.875	0.0625	-1.62742
auto	2016-10-27 00:00:00.0	42.25	-89.0625	0.0625	-1.66788
auto	2016-11-02 00:00:00.0	41.875	-88.3125	0.0625	-1.05824
auto	2016-11-03 00:00:00.0	40.1875	-87.625	0.0625	-1.09132
auto	2016-10-12 00:00:00.0	41.625	-86	0.0625	0.15587
auto	2016-10-21 00:00:00.0	41.625	-88.125	0.0625	-1.60792
auto	2016-10-15 00:00:00.0	41.1875	-87.875	0.0625	-0.57163
auto	2016-11-05 00:00:00.0	41.6875	-86.1875	0.0625	0.21557
auto	2016-10-03 00:00:00.0	42.3125	-88.0625	0.0625	-0.66504
auto	2016-10-16 00:00:00.0	40.0625	-86.875	0.0625	-0.06706
auto	2016-10-16 00:00:00.0	40.1875	-87.625	0.0625	-0.25512
auto	2016-10-16 00:00:00.0	39.9375	-86	0.0625	-0.58152
auto	2016-10-12 00:00:00.0	41.625	-87.625	0.0625	-1.71072
auto	2016-10-07 00:00:00.0	41.6875	-88.0625	0.0625	1.67745
auto	2016-11-01 00:00:00.0	39.9375	-86	0.0625	1.59302
auto	2016-10-10 00:00:00.0	42.375	-86.25	0.0625	0.13504
auto	2016-10-28 00:00:00.0	41.5625	-87.8125	0.0625	-0.73159
auto	2016-10-20 00:00:00.0	41.5625	-87.8125	0.0625	-1.6238
auto	2016-10-25 00:00:00.0	42	-88.6875	0.0625	-0.83938
auto	2016-10-09 00:00:00.0	41.5625	-89.125	0.0625	0.45443
auto	2016-10-25 00:00:00.0	42.0625	-88.0625	0.0625	-0.24206
auto	2016-11-04 00:00:00.0	42.5625	-87.875	0.0625	-0.75328
auto	2016-10-20 00:00:00.0	41.3125	-89.125	0.0625	-0.17642
auto	2016-11-02 00:00:00.0	42.0625	-88.0625	0.0625	-0.72769
auto	2016-10-22 00:00:00.0	41.8125	-86.25	0.0625	-0.56807
auto	2016-10-09 00:00:00.0	42.0625	-88.0625	0.0625	-0.79706
auto	2016-10-17 00:00:00.0	42	-88.6875	0.0625	-0.02685
auto	2016-10-22 00:00:00.0	41.875	-87.625	0.0625	-0.35863
auto	2016-10-18 00:00:00.0	41.625	-86.25	0.0625	-0.24757
auto	2016-10-04 00:00:00.0	41.75	-86.25	0.0625	1.1007
auto	2016-10-30 00:00:00.0	41.8125	-87.8125	0.0625	-0.78572
auto	2016-10-18 00:00:00.0	41.6875	-86.875	0.0625	1.57689
auto	2016-10-26 00:00:00.0	41.625	-86.25	0.0625	-0.32654
auto	2016-10-22 00:00:00.0	41.8125	-87.8125	0.0625	-0.30317
auto	2016-10-26 00:00:00.0	41.6875	-86.875	0.0625	-1.26662
auto	2016-11-03 00:00:00.0	42.6875	-89.0625	0.0625	-1.27635
auto	2016-11-03 00:00:00.0	41.5625	-87.1875	0.0625	-0.81571
auto	2016-10-02 00:00:00.0	41.6875	-86.875	0.0625	-1.23928
auto	2016-11-02 00:00:00.0	41.625	-86.25	0.0625	2.54811
auto	2016-10-21 00:00:00.0	41.8125	-87.8125	0.0625	1.96482
auto	2016-10-25 00:00:00.0	41.625	-86.25	0.0625	1.26874
auto	2016-10-25 00:00:00.0	41.6875	-86.875	0.0625	-0.41904
auto	2016-10-17 00:00:00.0	41.625	-86.25	0.0625	-0.31075
auto	2016-10-31 00:00:00.0	41.75	-86.25	0.0625	-1.54931
auto	2016-10-05 00:00:00.0	41.8125	-87.8125	0.0625	1.24099
auto	2016-10-09 00:00:00.0	41.625	-86.25	0.0625	-0.20018
auto	2016-10-13 00:00:00.0	41.8125	-87.8125	0.0625	0.22764
auto	2016-10-13 00:00:00.0	41.8125	-86.25	0.0625	-1.48957
auto	2016-10-26 00:00:00.0	42	-88.6875	0.0625	-2.78944
auto	2016-10-18 00:00:00.0	42	-88.6875	0.0625	-0.67687
auto	2016-10-29 00:00:00.0	41.8125	-86.25	0.0625	-1.42375
auto	2016-10-21 00:00:00.0	41.8125	-86.25	0.0625	-0.3706
auto	2016-10-15 00:00:00.0	41.3125	-89.125	0.0625	-0.11782
auto	2016-11-04 00:00:00.0	41.5625	-87.5625	0.0625	0.08888
auto	2016-11-05 00:00:00.0	41.125	-87.875	0.0625	-1.68604
auto	2016-10-09 00:00:00.0	42.375	-86.25	0.0625	-0.48616
auto	2016-10-15 00:00:00.0	41.5625	-87.8125	0.0625	-2.29296
auto	2016-10-15 00:00:00.0	41.5	-87.4375	0.0625	1.22156
auto	2016-10-17 00:00:00.0	42.375	-86.25	0.0625	-1.58829
auto	2016-10-23 00:00:00.0	41.5625	-87.8125	0.0625	0.46732
auto	2016-10-25 00:00:00.0	42.375	-86.25	0.0625	0.4757
auto	2016-11-02 00:00:00.0	42.375	-86.25	0.0625	-2.65035
auto	2016-10-11 00:00:00.0	40.1875	-87.625	0.0625	-0.87506
auto	2016-10-11 00:00:00.0	39.9375	-86	0.0625	-0.373
auto	2016-10-03 00:00:00.0	40.0625	-86.875	0.0625	0.34099
auto	2016-10-08 00:00:00.0	42.3125	-88.0625	0.0625	-0.08784
auto	2016-10-28 00:00:00.0	41.6875	-88.0625	0.0625	0.08219
auto	2016-10-05 00:00:00.0	41.6875	-86.1875	0.0625	-0.57142
auto	2016-10-11 00:00:00.0	40.0625	-86.875	0.0625	-0.36086
auto	2016-11-04 00:00:00.0	40.0625	-86.4375	0.0625	-1.60277
auto	2016-11-01 00:00:00.0	42.3125	-88.0625	0.0625	-0.10533
auto	2016-10-04 00:00:00.0	41.6875	-88.0625	0.0625	0.08219
auto	2016-10-19 00:00:00.0	40.0625	-86.875	0.0625	-0.93213
auto	2016-11-03 00:00:00.0	42.25	-89.0625	0.0625	-1.85342
auto	2016-11-05 00:00:00.0	41.625	-88.125	0.0625	-1.38767
auto	2016-10-19 00:00:00.0	40.1875	-87.625	0.0625	0.682
auto	2016-10-21 00:00:00.0	41.6875	-86.1875	0.0625	-1.12231
auto	2016-10-27 00:00:00.0	40.0625	-86.875	0.0625	2.60974
auto	2016-10-10 00:00:00.0	41.5	-87.3125	0.0625	-0.06116
auto	2016-11-03 00:00:00.0	41.5	-87.75	0.0625	-0.88965
auto	2016-10-03 00:00:00.0	42.6875	-87.9375	0.0625	-1.328
auto	2016-10-25 00:00:00.0	40.9375	-87.125	0.0625	1.26094
auto	2016-11-03 00:00:00.0	40.4375	-86.9375	0.0625	-1.44442
auto	2016-10-09 00:00:00.0	40.9375	-87.125	0.0625	-0.80542
auto	2016-10-31 00:00:00.0	42.3125	-89	0.0625	1.15476
auto	2016-10-15 00:00:00.0	41.8125	-88.1875	0.0625	-0.71924
auto	2016-10-23 00:00:00.0	42.3125	-89	0.0625	0.20432
auto	2016-10-14 00:00:00.0	39.9375	-86.125	0.0625	0.35189
auto	2016-10-01 00:00:00.0	41.625	-88.125	0.0625	0.01393
auto	2016-10-21 00:00:00.0	40.125	-88.1875	0.0625	0.60097
auto	2016-10-31 00:00:00.0	41.8125	-88.1875	0.0625	0.37497
auto	2016-10-30 00:00:00.0	39.9375	-86.125	0.0625	-1.16843
auto	2016-10-23 00:00:00.0	41.8125	-88.1875	0.0625	-0.59987
auto	2016-10-11 00:00:00.0	40.75	-86.375	0.0625	0.04031
auto	2016-10-15 00:00:00.0	40.4375	-89	0.0625	0.88955
auto	2016-10-02 00:00:00.0	41.8125	-86.75	0.0625	-0.4175
auto	2016-10-28 00:00:00.0	41.5625	-87.5	0.0625	0.05849
auto	2016-10-07 00:00:00.0	40.4375	-89	0.0625	1.39522
auto	2016-10-20 00:00:00.0	41.5625	-87.5	0.0625	-0.27512
auto	2016-10-18 00:00:00.0	41.8125	-86.75	0.0625	-1.1677
auto	2016-10-26 00:00:00.0	41.8125	-86.75	0.0625	-2.78813
auto	2016-11-04 00:00:00.0	41.875	-88	0.0625	-0.01048
auto	2016-11-03 00:00:00.0	41.8125	-87.75	0.0625	1.07467
auto	2016-10-02 00:00:00.0	41.375	-88.875	0.0625	-0.39244
auto	2016-11-02 00:00:00.0	41.375	-88.875	0.0625	-0.41119
auto	2016-11-04 00:00:00.0	41.9375	-87.6875	0.0625	-2.34379
auto	2016-10-25 00:00:00.0	41.375	-88.875	0.0625	-0.46742
auto	2016-10-09 00:00:00.0	41.8125	-86.75	0.0625	-0.92764
auto	2016-10-20 00:00:00.0	40.4375	-89	0.0625	-0.17502
auto	2016-10-07 00:00:00.0	41.5625	-87.5	0.0625	-0.47959
auto	2016-10-25 00:00:00.0	41.8125	-86.75	0.0625	-0.4175
auto	2016-10-20 00:00:00.0	42.3125	-89	0.0625	-0.00689
auto	2016-10-25 00:00:00.0	41.625	-87.5	0.0625	1.17371
auto	2016-10-04 00:00:00.0	41.8125	-88.1875	0.0625	1.05139
auto	2016-10-28 00:00:00.0	42.3125	-89	0.0625	0.55634
auto	2016-10-05 00:00:00.0	39.9375	-86.125	0.0625	-0.27412
auto	2016-11-02 00:00:00.0	41.625	-87.5	0.0625	-1.06239
